日期,涨跌幅
2023-02-01,0.0251
2023-02-02,-0.0226
2023-02-03,-0.0214
2023-02-06,-0.0123
2023-02-07,-0.0056
2023-02-08,-0.002
2023-02-09,0.013
2023-02-10,-0.0156
2023-02-13,0.0317
2023-02-14,-0.0196
2023-02-15,-0.0055
2023-02-16,-0.0121
2023-02-17,-0.0522
2023-02-20,0.0006
2023-02-21,-0.013
2023-02-22,-0.0134
2023-02-23,0.0092
2023-02-24,-0.0191
2023-02-27,-0.0107
2023-02-28,0.007
2023-03-01,0.0196
2023-03-02,-0.0268
2023-03-03,0.0038
2023-03-06,0.0153
2023-03-07,-0.0153
2023-03-08,-0.0112
2023-03-09,-0.0018
2023-03-10,0.0223
2023-03-13,-0.0342
2023-03-14,-0.0122
2023-03-15,0.002
2023-03-16,-0.0075
2023-03-17,-0.0239
2023-03-20,0.0106
2023-03-21,0.0367
2023-03-22,0.0138
2023-03-23,-0.0021
2023-03-24,-0.0121
2023-03-27,0.0075
2023-03-28,-0.0099
2023-03-29,0.0194
2023-03-30,-0.0002
2023-03-31,0.0149
2023-04-03,-0.0182
2023-04-04,-0.027
2023-04-06,0.0
2023-04-07,0.0064
2023-04-10,0.0296
2023-04-11,-0.0052
2023-04-12,-0.02
2023-04-13,-0.0096
2023-04-14,0.0234
2023-04-17,0.0268
2023-04-18,0.0028
2023-04-19,0.0034
2023-04-20,-0.0352
2023-04-21,0.0228
2023-04-24,-0.0201
2023-04-25,-0.0278
2023-04-26,0.054
2023-04-27,0.029
2023-04-28,-0.0006
2023-05-04,-0.0231
2023-05-05,0.0066
2023-05-08,0.0168
2023-05-09,-0.0216
2023-05-10,0.0296
2023-05-11,0.0339
2023-05-12,-0.0101
2023-05-15,0.0013
2023-05-16,0.003
2023-05-17,0.0042
2023-05-18,-0.0317
2023-05-19,-0.0103
2023-05-22,0.0013
2023-05-23,-0.0212
2023-05-24,-0.0008
2023-05-25,-0.0051
2023-05-26,-0.0183
2023-05-29,-0.0134
2023-05-30,0.0365
2023-05-31,-0.017
2023-06-01,0.0078
2023-06-02,0.0249
2023-06-05,-0.0378
2023-06-06,-0.0024
2023-06-07,-0.0546
2023-06-08,0.0034
2023-06-09,0.0194
2023-06-12,-0.0004
2023-06-13,0.0054
2023-06-14,0.0014
2023-06-15,0.0819
2023-06-16,0.001
2023-06-19,-0.0139
2023-06-20,0.0005
2023-06-21,-0.0136
2023-06-26,0.0012
2023-06-27,-0.0075
2023-06-28,0.0046
2023-06-29,-0.0089
2023-06-30,0.0283
2023-07-03,0.0048
2023-07-04,-0.0027
2023-07-05,-0.0076
2023-07-06,-0.0117
2023-07-07,-0.0116
2023-07-10,0.0295
2023-07-11,0.0013
2023-07-12,-0.0092
2023-07-13,0.0133
2023-07-14,-0.0075
2023-07-17,-0.0115
2023-07-18,-0.0007
2023-07-19,-0.0266
2023-07-20,0.0071
2023-07-21,0.0024
2023-07-24,-0.0118
2023-07-25,0.0337
2023-07-26,0.0014
2023-07-27,0.0014
2023-07-28,0.0135
2023-07-31,0.0335
2023-08-01,-0.0095
2023-08-02,0.0042
2023-08-03,0.0112
2023-08-04,0.0266
2023-08-07,0.004
2023-08-08,0.0026
2023-08-09,-0.0006
2023-08-10,-0.002
2023-08-11,-0.0203
2023-08-14,-0.0356
2023-08-15,-0.0069
2023-08-16,0.0056
2023-08-17,0.0114
2023-08-18,0.0026
2023-08-21,-0.0123
2023-08-22,-0.0095
2023-08-23,-0.0141
2023-08-24,0.0064
2023-08-25,-0.0027
2023-08-28,0.0095
2023-08-29,0.0347
2023-08-30,-0.0042
2023-08-31,-0.004
2023-09-01,-0.0006
2023-09-04,0.0053
2023-09-05,-0.0035
2023-09-06,-0.0101
2023-09-07,-0.0337
2023-09-08,-0.0158
2023-09-11,-0.0063
2023-09-12,-0.0163
2023-09-13,-0.0061
2023-09-14,-0.0077
2023-09-15,-0.0334
2023-09-18,0.0255
2023-09-19,-0.0035
2023-09-20,-0.0114
2023-09-21,-0.0151
2023-09-22,0.0203
2023-09-25,-0.0078
2023-09-26,-0.0228
2023-09-27,-0.0041
2023-09-28,-0.0031
2023-10-09,-0.0371
2023-10-10,-0.004
2023-10-11,0.0003
2023-10-12,0.006
2023-10-13,-0.0273
2023-10-16,-0.0306
2023-10-17,0.0037
2023-10-18,0.0046
2023-10-19,-0.0193
2023-10-20,-0.0093
2023-10-23,-0.0207
2023-10-24,-0.0047
2023-10-25,-0.0025
2023-10-26,0.0119
2023-10-27,0.0373
2023-10-30,0.0179
2023-10-31,-0.0129
2023-11-01,0.0105
2023-11-02,-0.0105
2023-11-03,0.0101
2023-11-06,0.0514
2023-11-07,-0.0296
2023-11-08,0.0031
2023-11-09,-0.002
2023-11-10,-0.0126
2023-11-13,-0.0062
2023-11-14,-0.0222
2023-11-15,0.0044
2023-11-16,-0.0181
2023-11-17,-0.0023
2023-11-20,-0.0024
2023-11-21,0.0017
2023-11-22,-0.02
2023-11-23,0.004
2023-11-24,-0.0152
2023-11-27,-0.0246
2023-11-28,0.0071
2023-11-29,-0.0295
2023-11-30,0.0009
2023-12-01,-0.009
2023-12-04,-0.0233
2023-12-05,-0.0176
2023-12-06,0.0256
2023-12-07,0.0099
2023-12-08,-0.0055
2023-12-11,0.0108
2023-12-12,-0.0104
